Configuration,Privacy Budget (¦Å),Final Accuracy,Accuracy Loss (%)
No DP,¡Þ,0.8500,0.00
DP (¦Å=0.10),0.10,0.4000,52.94
DP (¦Å=0.50),0.50,0.4000,52.94
DP (¦Å=1.00),1.00,0.5516,35.11
DP (¦Å=2.00),2.00,0.6984,17.84
DP (¦Å=5.00),5.00,0.7963,6.32
DP (¦Å=10.00),10.00,0.8191,3.64
