Configuration,Privacy Budget (¦Å),Final Accuracy,Accuracy Loss (%)
No DP,¡Þ,0.6500,0.00
DP (¦Å=0.10),0.10,0.4000,38.46
DP (¦Å=0.50),0.50,0.4000,38.46
DP (¦Å=1.00),1.00,0.4262,34.43
DP (¦Å=2.00),2.00,0.5363,17.49
DP (¦Å=5.00),5.00,0.6056,6.83
DP (¦Å=10.00),10.00,0.6295,3.15
