Configuration,Privacy Budget (¦Å),Final Accuracy,Accuracy Loss (%)
No DP,¡Þ,0.7500,0.00
DP (¦Å=0.10),0.10,0.4000,46.67
DP (¦Å=0.50),0.50,0.4000,46.67
DP (¦Å=1.00),1.00,0.4670,37.74
DP (¦Å=2.00),2.00,0.6228,16.95
DP (¦Å=5.00),5.00,0.6842,8.77
DP (¦Å=10.00),10.00,0.7064,5.81
