Configuration,Privacy Budget (¦Å),Final Accuracy,Accuracy Loss (%)
No DP,¡Þ,0.6500,0.00
DP (¦Å=0.10),0.10,0.4000,38.46
DP (¦Å=0.50),0.50,0.4000,38.46
DP (¦Å=1.00),1.00,0.4170,35.85
DP (¦Å=2.00),2.00,0.5420,16.62
DP (¦Å=5.00),5.00,0.6066,6.68
DP (¦Å=10.00),10.00,0.6062,6.74
